iter	Passed	Remaining
0	15	15005
1	28	14041
2	39	13073
3	52	13195
4	65	13114
5	79	13147
6	91	13024
7	101	12619
8	113	12485
9	125	12426
10	135	12143
11	150	12357
12	162	12314
13	171	12081
14	183	12044
15	195	12021
16	206	11945
17	217	11843
18	229	11832
19	241	11823
20	251	11734
21	263	11733
22	276	11732
23	286	11631
24	299	11696
25	314	11798
26	330	11913
27	343	11924
28	362	12152
29	382	12352
30	402	12574
31	434	13143
32	458	13447
33	470	13371
34	484	13368
35	497	13312
36	509	13269
37	519	13159
38	531	13092
39	544	13060
40	553	12952
41	564	12883
42	577	12841
43	586	12745
44	600	12739
45	612	12711
46	624	12669
47	634	12587
48	647	12560
49	659	12523
50	668	12445
51	680	12409
52	692	12370
53	702	12298
54	713	12259
55	725	12226
56	736	12180
57	747	12138
58	759	12106
59	771	12080
60	784	12069
61	797	12070
62	811	12066
63	825	12080
64	839	12069
65	848	12008
66	860	11984
67	875	11993
68	886	11957
69	896	11904
70	907	11878
71	920	11861
72	929	11807
73	944	11813
74	959	11827
75	970	11803
76	980	11755
77	993	11743
78	1005	11721
79	1018	11710
80	1028	11667
81	1040	11650
82	1051	11617
83	1061	11576
84	1074	11564
85	1086	11545
86	1095	11500
87	1108	11486
88	1120	11470
89	1130	11434
90	1144	11435
91	1160	11454
92	1172	11435
93	1183	11405
94	1194	11375
95	1205	11353
96	1215	11315
97	1227	11294
98	1240	11290
99	1256	11306
100	1270	11304
101	1283	11299
102	1296	11290
103	1308	11274
104	1320	11258
105	1330	11222
106	1342	11203
107	1354	11184
108	1364	11150
109	1375	11130
110	1386	11108
111	1396	11074
112	1408	11053
113	1421	11048
114	1436	11053
115	1446	11021
116	1458	11009
117	1470	10992
118	1480	10958
119	1492	10946
120	1503	10925
121	1514	10901
122	1525	10874
123	1537	10858
124	1547	10834
125	1559	10815
126	1573	10815
127	1585	10801
128	1595	10771
129	1607	10757
130	1619	10745
131	1630	10720
132	1640	10696
133	1653	10688
134	1666	10679
135	1677	10655
136	1692	10663
137	1711	10690
138	1733	10735
139	1743	10707
140	1755	10694
141	1767	10679
142	1777	10650
143	1789	10636
144	1801	10621
145	1810	10592
146	1822	10575
147	1834	10562
148	1844	10536
149	1855	10514
150	1869	10512
151	1881	10498
152	1891	10472
153	1903	10457
154	1915	10441
155	1924	10414
156	1936	10399
157	1948	10384
158	1958	10360
159	1970	10345
160	1982	10330
161	1991	10302
162	2005	10298
163	2017	10282
164	2027	10260
165	2037	10237
166	2049	10222
167	2059	10198
168	2069	10178
169	2081	10163
170	2091	10139
171	2103	10124
172	2117	10124
173	2138	10153
174	2163	10199
175	2178	10201
176	2189	10180
177	2202	10172
178	2214	10158
179	2224	10132
180	2236	10120
181	2248	10104
182	2257	10080
183	2269	10062
184	2280	10047
185	2295	10043
186	2304	10018
187	2315	10001
188	2327	9987
189	2337	9965
190	2348	9947
191	2359	9931
192	2369	9907
193	2380	9890
194	2390	9867
195	2402	9854
196	2415	9843
197	2427	9832
198	2438	9816
199	2451	9804
200	2463	9791
201	2472	9768
202	2484	9753
203	2496	9740
204	2505	9716
205	2517	9702
206	2531	9697
207	2547	9698
208	2560	9689
209	2580	9705
210	2592	9695
211	2608	9697
212	2619	9680
213	2633	9671
214	2645	9657
215	2654	9634
216	2666	9623
217	2679	9610
218	2688	9587
219	2699	9572
220	2711	9559
221	2721	9538
222	2735	9533
223	2748	9519
224	2760	9507
225	2770	9487
226	2781	9471
227	2793	9459
228	2804	9441
229	2816	9427
230	2827	9413
231	2837	9393
232	2848	9378
233	2860	9364
234	2877	9367
235	2886	9345
236	2898	9332
237	2910	9318
238	2919	9297
239	2931	9283
240	2943	9269
241	2953	9250
242	2968	9248
243	2983	9244
244	2999	9242
245	3020	9256
246	3035	9254
247	3049	9245
248	3061	9234
249	3073	9221
250	3083	9201
251	3095	9188
252	3108	9177
253	3117	9157
254	3130	9146
255	3143	9135
256	3153	9115
257	3167	9108
258	3179	9096
259	3191	9084
260	3201	9064
261	3213	9051
262	3225	9037
263	3234	9018
264	3246	9005
265	3258	8992
266	3268	8973
267	3279	8958
268	3291	8944
269	3301	8927
270	3313	8913
271	3325	8899
272	3334	8878
273	3345	8863
274	3357	8850
275	3366	8831
276	3378	8819
277	3390	8806
278	3403	8795
279	3413	8778
280	3427	8770
281	3448	8779
282	3464	8777
283	3480	8775
284	3495	8770
